Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
jeffpar/kbarchive,https://github.com/jeffpar/kbarchive,FALSE,10/18/2017 19:26,10/18/2017 19:28,3/20/2020 19:05,[],246,22,53,0,2,,436147,12,11,4,41,0,24
pointpillars-on-openvino/pointpillars-on-openvino,https://github.com/pointpillars-on-openvino/pointpillars-on-openvino,FALSE,11/12/2021 6:40,11/12/2021 6:40,12/16/2021 2:37,[],8,0,3,0,1,C++,56264,1,0,1,12,0,0
Ascend/samples,https://github.com/Ascend/samples,FALSE,11/16/2020 11:38,4/26/2020 13:30,9/9/2022 1:16,[],51,5,23,0,27,Python,209908,7,1,1,3536,0,0
utopia-group/regel,https://github.com/utopia-group/regel,FALSE,3/27/2020 23:19,4/7/2020 22:19,7/11/2022 15:56,[],30,9,7,0,2,Java,11451,15,7,3,23,0,0
kelvinguu/lang2program,https://github.com/kelvinguu/lang2program,FALSE,2/25/2017 7:15,2/25/2017 7:15,9/19/2017 20:31,[],63,7,20,0,3,Python,487,2,0,1,9,0,0
mini-peanut/search-table,https://github.com/mini-peanut/search-table,FALSE,6/14/2019 8:55,6/14/2019 8:55,10/9/2019 12:55,[],16,0,7,0,2,TypeScript,555,2,2,1,18,0,0
Anwarvic/Dan-Jurafsky--Chris-Manning--NLP,https://github.com/Anwarvic/Dan-Jurafsky--Chris-Manning--NLP,FALSE,12/14/2017 12:46,12/14/2017 12:44,7/4/2018 10:11,"['autocorrector', 'autocorrection', 'regular-expression', 'regular-expressions', 'sentiment-analysis', 'sentiment-classification', 'ner', 'named-entity-recognition', 'parsing', 'parser', 'cky-parser', 'cky-algorithm', 'cky', 'information-retrieval', 'information-extraction', 'question-answering', 'nlp', 'nlp-machine-learning', 'text-classification', 'text-processing']",152,8,53,0,1,Java,52088,2,1,1,26,0,0
40ants/hacrm,https://github.com/40ants/hacrm,FALSE,8/16/2017 19:58,4/18/2017 6:26,12/6/2019 8:59,"['lisp', 'common-lisp', 'crm', 'plugins']",4,3,0,0,1,Common Lisp,5379,2,0,1,100,0,0
sclorg/scl-utils,https://github.com/sclorg/scl-utils,FALSE,12/5/2014 10:54,6/15/2012 7:34,2/17/2022 16:36,[],12,10,22,0,12,C,132,47,32,2,137,3,0
CharlesPikachu/DecryptLogin,https://github.com/CharlesPikachu/DecryptLogin,FALSE,2/25/2019 1:57,2/25/2019 1:57,8/29/2022 8:59,"['requests', 'login', 'python3', 'spider', 'crawler', 'zhihu', 'bilibili', 'weibo', 'taobao', 'jingdong', 'twitter', 'baiduyun', 'stackoverflow', '12306', 'xiami', 'tencent', 'pypi', 'migu', 'xiaomi', 'baidu']",2449,58,709,0,1,Python,38150,83,11,1,318,0,0
