Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments,Category
stanfordnlp/phrasenode,https://github.com/stanfordnlp/phrasenode,FALSE,8/27/2018 5:14,[],31,12,12,0,3,Python,265,1,0,1,0,30,0,0,0,
Evgeneus/Label-Smoothing-in-Text-Classification,https://github.com/Evgeneus/Label-Smoothing-in-Text-Classification,FALSE,1/24/2020 15:36,"['label-smoothing', 'soft-targets', 'crowd-votes', 'nlp', 'transformer', 'label-distribution', 'machine-learning', 'text-classification', 'document-management', 'calibration', 'crowd-labels']",7,2,0,0,2,Python,118914,0,0,2,0,140,0,0,0,
homemade/scl,https://github.com/homemade/scl,FALSE,11/8/2016 12:01,[],19,4,1,0,2,Go,57,0,0,2,16,82,0,0,0,
sclorg/scl-utils,https://github.com/sclorg/scl-utils,FALSE,12/5/2014 10:54,[],12,10,22,0,12,C,132,18,5,2,6,137,3,0,0,
kelvinguu/neural-editor,https://github.com/kelvinguu/neural-editor,FALSE,9/26/2017 9:51,[],327,30,60,0,1,Python,172,15,1,2,0,11,0,0,0,
intel/OpenVINO-optimization-for-PointPillars,https://github.com/intel/OpenVINO-optimization-for-PointPillars,FALSE,12/13/2021 23:21,[],15,2,3,0,3,C++,55649,0,0,1,0,14,0,0,0,
apache/tcl-rivet,https://github.com/apache/tcl-rivet,FALSE,7/18/2018 10:39,['tcl'],14,7,6,0,3,C,7154,0,0,15,34,1323,0,0,0,
bq/aquaris-M10-FHD,https://github.com/bq/aquaris-M10-FHD,FALSE,2/1/2016 18:19,[],5,10,8,0,0,C,332295,0,0,2,11,6,0,0,0,
KusionStack/KCLVM,https://github.com/KusionStack/KCLVM,FALSE,5/5/2022 7:02,"['record', 'configuration', 'functional', 'policy', 'language', 'rust', 'programming-languages', 'configuration-language', 'as-code', 'compiler']",116,1,19,7,7,Rust,3839,45,2,1,8,172,5,0,0,
Xilinx/AWS-F1-Developer-Labs,https://github.com/Xilinx/AWS-F1-Developer-Labs,FALSE,7/3/2018 16:32,[],20,6,9,0,1,C++,12209,2,0,1,0,2,0,0,0,
USC-NSL/SPA,https://github.com/USC-NSL/SPA,FALSE,12/30/2014 8:14,[],10,23,9,0,2,,1158528,0,0,1,0,1618,0,0,0,
robinjia/adversarial-squad,https://github.com/robinjia/adversarial-squad,FALSE,7/21/2017 17:11,[],115,6,26,0,1,Python,378,1,0,1,0,3,0,0,0,
dazcona/mrnet,https://github.com/dazcona/mrnet,FALSE,10/18/2020 21:30,[],8,2,1,0,0,Jupyter Notebook,35397,1,0,1,0,1,0,0,0,
landing-ai/data-centric-comp,https://github.com/landing-ai/data-centric-comp,FALSE,5/5/2021 18:31,[],11,3,0,0,2,JavaScript,34339,0,0,2,0,35,0,0,32,
stunback/yolox_for_cann_atlas200dk,https://github.com/HITSZ-NRSL/yolox_for_cann_atlas200dk,FALSE,7/31/2021 3:20,[],12,1,4,0,1,Python,19140,1,0,1,0,3,0,0,0,
p-lambda/in-n-out,https://github.com/p-lambda/in-n-out,FALSE,10/8/2020 23:00,"['out-of-distribution', 'robustness', 'pre-training', 'self-training']",11,13,0,0,3,Python,857,1,0,1,0,63,0,0,0,
stanfordnlp/coqa-baselines,https://github.com/stanfordnlp/coqa-baselines,FALSE,9/15/2018 2:17,[],172,15,49,0,3,Python,75,5,0,2,0,46,0,0,0,
equinor/xtgeo,https://github.com/equinor/xtgeo,FALSE,2/22/2018 13:47,[],87,19,39,170,16,Python,8759,69,1,9,312,2071,0,0,0,
kshannon/abnormal-xray-detection,https://github.com/kshannon/abnormal-xray-detection,FALSE,6/18/2018 0:03,"['deep-learning', 'medical-imaging', 'tensorflow', 'mura-dataset']",9,4,7,0,2,Python,1931,0,0,1,0,47,0,0,0,
