Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
sunprinceS/MetaASR-CrossAccent,https://github.com/sunprinceS/MetaASR-CrossAccent,False,2020-04-12 00:14:05,"['meta-learning', 'asr', 'multi-task-learning', 'speech-pretraining', 'pytorch', 'gradient-based-meta-learning']",10,2,1,0,1,Jupyter Notebook,3116,6,0,4,0,37,0,0,0
mkocabas/PARE,https://github.com/mkocabas/PARE,False,2021-01-07 09:08:25,"['human-pose-estimation', '3d-human-shape-and-pose-estimation', '3d-human-reconstruction', 'computer-vision', 'computer-graphics']",260,13,51,1,0,Python,21046,13,1,1,1,6,0,0,0
fcakyon/yolov5-pip,https://github.com/fcakyon/yolov5-pip,False,2021-02-10 11:36:41,"['yolo', 'yolov5', 'object-detection', 'pytorch', 'python', 'pip', 'ultralytics', 'yolov3', 'yolov4', 'machine-learning', 'deep-learning', 'computer-vision', 'aws', 'coco', 'neptune', 'neptune-ai', 's3', 'pypi', 'cli']",201,2,47,39,6,Python,1480,0,0,2,39,206,0,0,0
tanimutomo/gcmc,https://github.com/tanimutomo/gcmc,False,2019-01-18 10:11:29,[],135,3,35,0,2,Python,387,2,0,8,0,113,0,0,0
LastReLU/ReflectionSeparation,https://github.com/LastReLU/ReflectionSeparation,False,2019-11-02 09:47:23,[],6,6,2,0,3,Python,14847,3,0,15,0,66,0,0,22
LambdaLabsML/examples,https://github.com/LambdaLabsML/examples,False,2022-07-07 13:06:19,[],408,10,53,0,3,Jupyter Notebook,43972,19,2,5,0,33,0,0,0
jrieke/traintool,https://github.com/jrieke/traintool,False,2020-09-30 22:23:05,"['machine-learning', 'deep-learning', 'neural-network', 'pytorch', 'tensorflow', 'sklearn', 'python']",10,3,0,0,1,Python,606,0,0,2,0,122,0,0,75
hollygrimm/art-composition-cnn,https://github.com/hollygrimm/art-composition-cnn,False,2018-08-14 15:33:26,"['resnet-50', 'keras', 'deep-learning', 'neural-network', 'residual-networks']",6,0,0,0,1,Python,3830,0,0,1,0,58,0,0,0
mkocabas/SPEC,https://github.com/mkocabas/SPEC,False,2021-10-12 15:18:05,"['human-pose-estimation', '3d-human-shape-and-pose-estimation', '3d-human-pose', '3d-human-mesh', '3d-human-reconstruction', 'computer-vision', 'computer-graphics', 'camera-calibration']",180,12,24,1,0,Python,7407,7,0,1,1,6,0,0,0
ebagdasa/propaganda_as_a_service,https://github.com/ebagdasa/propaganda_as_a_service,False,2020-12-09 20:54:33,"['language-models', 'propaganda']",15,2,1,0,420,Python,80181,0,0,8,0,9144,0,0,0
kvvik/DS_SamU,https://github.com/kvvik/DS_SamU,False,2022-02-04 08:34:30,[],6,3,10,0,6,Jupyter Notebook,11288,0,0,1,0,71,0,0,0
AndrewUlmer/MABe_2022_TVAE,https://github.com/AndrewUlmer/MABe_2022_TVAE,False,2022-03-16 22:55:44,[],15,4,2,0,2,Jupyter Notebook,582,0,0,1,0,10,0,0,0
saeyslab/DeepLearning_for_ImagingFlowCytometry,https://github.com/saeyslab/DeepLearning_for_ImagingFlowCytometry,False,2019-05-14 13:12:46,"['deep-learning', 'imaging-flow-cytometry', 'keras-tensorflow', 'image-classification']",9,3,3,0,1,Python,126578,8,7,11,0,189,0,0,0
microsoft/presidio-research,https://github.com/microsoft/presidio-research,False,2020-01-05 16:35:12,"['natural-language-processing', 'nlp', 'pii', 'privacy', 'spacy', 'flair', 'named-entity-recognition', 'ner', 'deep-learning']",80,12,35,0,13,Python,2210,4,3,5,0,170,0,0,0
wl-zhao/DIML,https://github.com/wl-zhao/DIML,False,2021-08-04 13:26:16,"['interpretable-deep-learning', 'deep-metric-learning', 'iccv2021', 'computer-vision', 'deep-learning']",74,1,9,0,1,Python,1591,3,0,1,0,17,0,0,0
SwapnilPande/MOReL,https://github.com/SwapnilPande/MOReL,False,2020-12-21 01:49:20,[],35,2,10,0,1,Python,65,2,0,1,0,25,0,0,0
rycolab/differentiable-subset-pruning,https://github.com/rycolab/differentiable-subset-pruning,False,2021-08-06 18:40:31,[],13,2,1,0,1,Python,8940,0,0,1,0,6,0,0,0
zhuchen03/FreeLB,https://github.com/zhuchen03/FreeLB,False,2020-02-14 01:34:12,"['freelb', 'adversarial', 'natural-language', 'iclr2020']",235,9,37,0,2,Python,6112,4,0,1,0,8,0,0,0
mlco2/codecarbon,https://github.com/mlco2/codecarbon,False,2020-05-12 14:44:03,[],536,14,78,16,35,Jupyter Notebook,24715,62,7,72,18,1232,2,0,151
fastai/fastai,https://github.com/fastai/fastai,False,2017-09-09 17:43:36,"['deep-learning', 'machine-learning', 'pytorch', 'python', 'gpu', 'fastai', 'notebooks', 'colab']",22955,609,7315,47,214,Jupyter Notebook,847535,121,8,1,47,2592,123,0,3081
