Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments,,,,
TheShadow29/VidSitu,https://github.com/TheShadow29/VidSitu,FALSE,2/10/2021 10:28,"['vision', 'vision-and-language', 'grounding', 'nlp', 'video', 'video-language', 'event-relations', 'semantic-roles', 'srl', 'captioning-videos', 'captioning']",42,2,6,0,1,Python,950,5,0,5,0,57,0,0,0,,,,
jfzhuang/IFR,https://github.com/jfzhuang/IFR,FALSE,11/22/2021 7:53,"['cvpr2022', 'semantic-segmentation', 'semi-supervised-learning', 'semi-supervised-segmentation']",14,1,2,0,1,Python,20650,1,1,1,0,16,0,0,0,,,,
jan21deepak/ANZBootcamp,https://github.com/jan21deepak/ANZBootcamp,FALSE,4/13/2021 5:15,[],5,1,16,0,4,Python,156,0,0,4,0,25,0,0,0,,,,
databricks/tech-talks,https://github.com/databricks/tech-talks,FALSE,4/3/2020 21:32,[],574,87,374,0,25,HTML,136096,6,0,3,0,319,1,0,0,,,,
khuyentran1401/Machine-learning-pipeline,https://github.com/khuyentran1401/Machine-learning-pipeline,FALSE,5/3/2020 17:48,"['hydra', 'machine-learning-pipeline', 'mlflow', 'machine-learning', 'data-science']",46,1,18,0,1,Python,22069,0,0,1,0,17,0,0,0,,,,
kareem-metwaly/glidenet,https://github.com/kareem-metwaly/glidenet,FALSE,3/7/2022 1:33,[],16,1,2,0,1,Python,110,0,0,1,0,3,0,0,0,,,,
Minyus/pipelinex,https://github.com/Minyus/pipelinex,FALSE,11/15/2019 11:43,"['pipeline', 'experimentation', 'machine-learning', 'deep-learning', 'data-science', 'data-engineering']",197,6,10,0,3,Python,1136,1,0,1,42,533,2,0,0,,,,
niwilso/data-drift-monitor,https://github.com/niwilso/data-drift-monitor,FALSE,9/28/2020 17:49,[],6,1,0,0,1,Python,6374,0,0,1,0,11,0,0,0,,,,
AICoE/experiment-tracking,https://github.com/AICoE/experiment-tracking,FALSE,9/25/2018 16:38,['artificial-intelligence'],5,3,4,0,1,Shell,3222,0,0,1,0,18,0,0,0,,,,
jimthompson5802/mlflow_demo,https://github.com/jimthompson5802/mlflow_demo,FALSE,3/11/2019 2:15,[],7,2,3,6,1,Jupyter Notebook,1873,2,0,1,6,102,0,0,0,,,,
datarevenue-berlin/OpenMLOps,https://github.com/datarevenue-berlin/OpenMLOps,FALSE,10/30/2020 17:23,[],577,16,83,1,16,HCL,9555,23,2,51,3,412,0,0,0,,,,
CJHJ/spatiotemporal-transformer-paper,https://github.com/CJHJ/spatiotemporal-transformer-paper,FALSE,2/6/2021 18:13,[],5,2,0,0,1,Python,1161,0,0,1,0,2,0,0,0,,,,
solliancenet/azure-synapse-analytics-workshop-400,https://github.com/solliancenet/azure-synapse-analytics-workshop-400,FALSE,4/1/2020 17:40,[],152,32,147,0,13,PowerShell,1627769,2,0,1,0,879,1,0,0,,,,
saeed349/Microservices-Based-Algorithmic-Trading-System,https://github.com/saeed349/Microservices-Based-Algorithmic-Trading-System,FALSE,1/6/2020 0:21,[],225,20,93,0,1,Python,49048,7,3,4,0,22,0,0,0,,,,
DataTalksClub/mlops-zoomcamp,https://github.com/DataTalksClub/mlops-zoomcamp,FALSE,10/21/2021 9:35,"['machine-learning', 'mlops', 'model-deployment', 'model-monitoring', 'workflow-orchestration']",4405,100,805,0,45,Jupyter Notebook,3869,26,2,3,0,317,0,0,0,,,,
princeton-nlp/MultilingualAnalysis,https://github.com/princeton-nlp/MultilingualAnalysis,FALSE,12/21/2020 17:58,"['multilingual', 'transformers', 'multilingual-bert', 'zero-shot', 'cross-lingual']",8,1,0,0,1,Python,50247,0,0,1,0,145,0,0,0,,,,
elemeno-ai/elabs-mlflow,https://github.com/elemeno-ai/elabs-mlflow,FALSE,10/23/2021 18:50,[],8,4,1,2,1,Python,12,0,0,1,2,12,0,0,0,,,,
neuroailab/physopt-physics-benchmarking,https://github.com/neuroailab/physopt-physics-benchmarking,FALSE,6/7/2021 7:05,[],6,3,0,0,5,Python,2328,0,0,1,0,472,0,0,0,,,,
amesar/mlflow-examples,https://github.com/amesar/mlflow-examples,FALSE,11/5/2019 12:49,[],116,4,52,0,1,HTML,1147,4,1,1,0,445,0,0,0,,,,
SeanPLeary/mlflow-minio-h2o-example,https://github.com/SeanPLeary/mlflow-minio-h2o-example,FALSE,2/23/2019 9:27,"['h2oai', 'h2o', 'mlflow-tracking-server', 'mlflow', 'minio', 'minio-server']",18,0,8,0,1,Jupyter Notebook,11,1,1,1,0,4,0,0,0,,,,
Kthyeon/FINE_official,https://github.com/Kthyeon/FINE_official,FALSE,10/26/2021 16:24,"['noisy-label-learning', 'semi-supervised-learning', 'neurips2021', 'machine-learning', 'pytorch']",26,3,9,0,6,Python,168341,1,0,7,0,351,0,0,0,,,,
NLPatVCU/multitasking_transformers,https://github.com/NLPatVCU/multitasking_transformers,FALSE,3/20/2020 17:23,"['clinical-nlp', 'deep-learning', 'bert', 'multi-task-learning']",35,3,8,1,1,Python,2807,2,0,1,1,54,0,0,0,,,,
PaulEmmanuelSotir/DeepCV,https://github.com/PaulEmmanuelSotir/DeepCV,FALSE,3/4/2020 21:28,"['deep-learning', 'kedro', 'opencv', 'machine-learning', 'python', 'vision', 'vision-framework', 'mlflow', 'pytorch', 'tensorboardx', 'neural-network-intelligence', 'template-project']",6,4,2,0,2,Python,1704,0,0,2,0,172,0,0,0,,,,
AISaturdaysLagos/cohort7_practicals,https://github.com/AISaturdaysLagos/cohort7_practicals,FALSE,9/3/2021 20:59,[],18,4,30,0,8,Jupyter Notebook,11225,0,0,2,0,108,0,0,0,,,,
microsoft/bigcarp,https://github.com/microsoft/bigcarp,FALSE,7/18/2022 21:02,[],9,3,0,0,3,Python,27,0,0,1,0,12,0,0,0,,,,
tudelft/ssl_e2vid,https://github.com/tudelft/ssl_e2vid,FALSE,4/12/2021 12:27,[],37,13,11,0,1,Python,15871,3,0,1,0,3,0,0,0,,,,
BIX-Digital/mlflow-openshift,https://github.com/BIX-Digital/mlflow-openshift,FALSE,1/5/2021 13:34,[],5,4,2,6,3,Python,37,1,0,1,6,23,0,0,0,,,,
scaleoutsystems/workshop-intro-to-fedn,https://github.com/scaleoutsystems/workshop-intro-to-fedn,FALSE,5/5/2021 15:11,[],5,3,0,0,2,Jupyter Notebook,66,0,0,1,0,12,0,0,0,,,,
RausellLab/Tiresias,https://github.com/RausellLab/Tiresias,FALSE,6/28/2019 14:50,[],5,2,1,0,3,Python,1962,0,0,3,0,57,0,0,0,,,,
microsoft/BackwardCompatibilityML,https://github.com/microsoft/BackwardCompatibilityML,FALSE,7/9/2020 20:14,[],63,8,11,6,3,HTML,20903,35,4,36,7,48,0,0,0,,,,
m30m/gnn-explainability,https://github.com/m30m/gnn-explainability,FALSE,12/10/2020 14:41,[],9,2,0,0,1,Jupyter Notebook,508,0,0,2,0,88,0,0,0,,,,
dornasabet/DCGANFER,https://github.com/dornasabet/DCGANFER,FALSE,11/12/2021 11:48,[],5,1,0,0,1,Python,4,0,0,1,0,6,0,0,0,,,,
NivedhanSenthilkumar/AllReusableScripts,https://github.com/NivedhanSenthilkumar/AllReusableScripts,FALSE,11/16/2021 11:34,[],6,1,3,0,1,Python,160,0,0,1,0,194,0,0,0,,,,
talipucar/BYOL,https://github.com/talipucar/BYOL,FALSE,1/11/2021 12:04,"['self-supervised', 'self-supervised-learning', 'pytorch', 'byol', 'byol-pytorch']",5,1,1,0,2,Python,27961,0,0,1,0,8,0,0,0,,,,
MicrosoftLearning/mslearn-dp100,https://github.com/MicrosoftLearning/mslearn-dp100,FALSE,11/25/2020 16:22,[],479,28,523,0,17,Jupyter Notebook,1025,0,0,2,0,192,1,0,134,,,,
BenWilson2/ML-Engineering,https://github.com/BenWilson2/ML-Engineering,FALSE,11/18/2020 1:42,[],46,4,11,0,1,Jupyter Notebook,45203,2,0,1,0,20,0,0,0,,,,
kajyuuen/allennlp-book,https://github.com/kajyuuen/allennlp-book,FALSE,3/3/2020 7:50, 'nlp']",38,3,4,0,1,Python,766,1,1,2,0,6,0,0,0,,,,
datarootsio/tutorial-mlops,https://github.com/datarootsio/tutorial-mlops,FALSE,5/2/2022 20:05,[],16,6,2,0,3,Jupyter Notebook,5824,0,0,1,0,10,0,0,0,,,,
ediziks/EPITA-DSA-Notes,https://github.com/ediziks/EPITA-DSA-Notes,FALSE,2/16/2022 11:43,"['epita', 'data-science', 'analytics', 'masters']",11,1,2,0,1,Jupyter Notebook,732175,0,0,1,0,254,0,0,0,,,,
flmu/mlflow-tracking-server,https://github.com/flmu/mlflow-tracking-server,FALSE,9/28/2018 15:12,"['docker', 'docker-image', 'mlflow', 'mlflow-tracking-server', 'docker-file', 'databricks', 'machine-learning', 'ui', 'aws', 'aws-s3', 'python', 'demo', 's3-bucket', 'aws-cli', 'sqlite', 'sqlite-database']",59,2,21,0,3,Shell,53,2,0,5,0,29,0,0,0,,,,
criteo/mlflow-yarn,https://github.com/criteo/mlflow-yarn,FALSE,7/15/2020 15:01,[],8,10,4,0,1,Python,56,1,0,2,1,21,0,0,0,,,,
nkennek/softtriple_pytorch,https://github.com/nkennek/softtriple_pytorch,FALSE,9/19/2019 9:05,[],6,2,0,0,1,Python,143,6,6,7,0,5,0,0,0,,,,
netik1020/Concise-iPython-Notebooks-for-Deep-learning,https://github.com/netik1020/Concise-iPython-Notebooks-for-Deep-learning,FALSE,1/9/2019 11:23,"['deeplearning', 'deep-neural-networks', 'image-processing', 'image-classification', 'image-segmentation', 'text-classification', 'text-processing', 'text-generation', 'unet-keras', 'keras-neural-networks', 'u-net', 'autoencoder', 'inception-architecture', 'intent-classification', 'semantic-relationship-extraction', 'attention-lstm', 'bi-lstm-crf', 'word-embeddings', 'snapshot']",33,5,12,0,1,Jupyter Notebook,9629,0,0,1,0,99,0,0,0,,,,
shengliu66/ELR,https://github.com/shengliu66/ELR,FALSE,6/24/2020 0:00,"['noisy-labels', 'robust-learning', 'deep-learning', 'statistical-learning']",221,9,29,0,2,Python,5167,3,3,4,0,129,0,0,0,,,,
adipolak/ms-build-e2e-ml-bigdata,https://github.com/adipolak/ms-build-e2e-ml-bigdata,FALSE,5/12/2020 9:24,17,7,6,0,2,Python,19360,5,5,1,0,30,0,0,0,,,,,
eric-vader/HD-BO-Additive-Models,https://github.com/eric-vader/HD-BO-Additive-Models,FALSE,12/17/2020 2:45,[],8,2,1,0,1,Python,10909,0,0,1,0,14,0,0,0,,,,
MisterMap/undeepvo,https://github.com/MisterMap/undeepvo,FALSE,5/25/2020 13:58,[],9,4,11,0,5,Jupyter Notebook,5719,8,2,2,0,300,0,0,0,,,,
TeoMeWhy/churn-sub,https://github.com/TeoMeWhy/churn-sub,FALSE,7/5/2022 12:42,[],25,2,24,0,1,Python,36,2,1,1,0,18,0,0,0,,,,
pycaret/mlopsworld2021,https://github.com/pycaret/mlopsworld2021,FALSE,6/14/2021 14:43,[],12,0,5,0,0,Jupyter Notebook,18686,0,0,1,0,4,0,0,0,,,,
manifoldai/orbyter-demo-old,https://github.com/manifoldai/orbyter-demo-old,FALSE,9/12/2019 3:09,[],8,4,1,1,2,Jupyter Notebook,292,1,1,13,1,53,0,0,0,,,,
upura/signate-hiroshima-quest-idea,https://github.com/upura/signate-hiroshima-quest-idea,FALSE,7/12/2020 13:48,[],5,1,1,0,1,Python,472,0,0,1,0,18,0,0,0,,,,
studio-ousia/ease,https://github.com/studio-ousia/ease,FALSE,4/10/2022 1:50,[],29,5,1,0,2,Python,15519,0,0,4,0,132,0,0,0,,,,
opendp/smartnoise-sdk,https://github.com/opendp/smartnoise-sdk,FALSE,9/23/2019 18:06,"['privacy', 'differential-privacy', 'opendp', 'smartnoise']",169,24,41,9,20,Python,40753,22,3,25,14,656,2,0,13,,,,
data-science-on-aws/data-science-on-aws,https://github.com/data-science-on-aws/data-science-on-aws,FALSE,2/29/2020 19:33,[],2772,107,899,0,12,Jupyter Notebook,1003315,79,2,3,0,3321,0,0,0,,,,
LINC-BIT/legodnn,https://github.com/LINC-BIT/legodnn,FALSE,12/8/2021 12:08,"['mobile', 'vision']",37,11,21,0,2,Python,349018,1,1,1,0,75,0,0,0,,,,
Ben8t/football-analytics,https://github.com/Ben8t/football-analytics,FALSE,4/17/2020 12:21,[],8,2,1,0,1,HTML,599827,0,0,11,0,300,0,0,0,,,,
toandaominh1997/grow,https://github.com/toandaominh1997/grow,FALSE,6/5/2021 2:42,"['microservice', 'python', 'reactjs', 'nginx', 'kafka', 'elasticsearch', 'redis', 'postgres', 'grafana', 'logstash', 'apache-spark', 'golang', 'django', 'fastapi', 'nextjs', 'flutter', 'kubernetes']",6,1,1,0,2,Python,135952,15,15,21,0,365,353,0,642,,,,
solliancenet/azure-synapse-analytics-day,https://github.com/solliancenet/azure-synapse-analytics-day,FALSE,3/11/2020 16:09,[],165,29,188,0,10,Jupyter Notebook,64103,12,0,2,0,422,0,0,0,,,,
noahgift/databricks-zero-to-mlops,https://github.com/noahgift/databricks-zero-to-mlops,FALSE,2/14/2022 17:28,[],13,2,10,0,1,Python,161,0,0,1,0,158,0,0,0,,,,
mbloem/kedro-mlflow-demo,https://github.com/mbloem/kedro-mlflow-demo,FALSE,5/26/2020 9:22,[],8,2,2,0,1,Python,68,1,1,2,5,18,0,0,0,,,,
vfdev-5/UDA-pytorch,https://github.com/vfdev-5/UDA-pytorch,FALSE,7/16/2019 11:32,[],55,6,13,0,1,Jupyter Notebook,489,1,0,1,0,11,0,0,0,,,,
nyanp/nyaggle,https://github.com/nyanp/nyaggle,FALSE,12/19/2019 2:01,"['machine-learning', 'kaggle', 'feature-engineering', 'experiment-tracking', 'ml']",254,12,29,16,7,Python,690,8,0,5,16,412,0,0,0,,,,
JeremieMelo/NeurOLight,https://github.com/JeremieMelo/NeurOLight,FALSE,9/19/2022 6:17,"['photonics', 'machine-learning', 'neural-networks', 'optics', 'simulation']",12,2,1,0,1,Python,16608,0,0,1,0,2,0,0,0,,,,
alina2204/contrastive_SSL_ship_detection,https://github.com/alina2204/contrastive_SSL_ship_detection,FALSE,9/20/2021 13:37,[],11,2,0,0,1,Jupyter Notebook,23204,0,0,1,0,13,0,0,0,,,,
omnious/ml-starter-project,https://github.com/omnious/ml-starter-project,FALSE,2/25/2022 5:13,[],5,3,0,0,1,Python,527,0,0,1,0,1,0,0,0,,,,
joelcthomas/ml-azuredatabricks,https://github.com/joelcthomas/ml-azuredatabricks,FALSE,4/2/2020 19:19,"['azure', 'databricks', 'machine-learning', 'deep-learning', 'mlflow']",35,4,22,0,1,Python,2302,1,0,1,0,19,0,0,15,,,,
IsakZhang/XABSA,https://github.com/IsakZhang/XABSA,FALSE,11/22/2021 11:51,[],6,3,0,0,1,Python,2386,2,0,1,0,3,0,0,0,,,,
corradomonti/learnable-opinion-dynamics,https://github.com/corradomonti/learnable-opinion-dynamics,FALSE,5/18/2020 17:06,"['kdd2020', 'tensorflow', 'generative-model', 'opinion-dynamics', 'opinion-mining', 'temporal-graphs', 'expectation-maximization', 'statistical-inference']",19,3,7,0,1,Python,3653,0,0,1,0,20,0,0,5,,,,
padre-lab-eu/pypads,https://github.com/padre-lab-eu/pypads,FALSE,1/21/2020 12:18,[],13,4,4,0,3,Python,6863,5,0,14,38,715,0,0,0,,,,
U-Alberta/ADaPT-ML,https://github.com/U-Alberta/ADaPT-ML,FALSE,6/24/2021 17:34,[],7,0,2,1,1,Python,27679,3,0,1,2,401,2,0,0,,,,
bingblackbean/streamlit_pycaret,https://github.com/bingblackbean/streamlit_pycaret,FALSE,9/4/2020 13:38,[],9,3,8,0,1,Python,1890,0,0,1,0,2,0,0,0,,,,
explosion/spacy-loggers,https://github.com/explosion/spacy-loggers,FALSE,9/13/2021 23:08,"['nlp', 'spacy', 'natural-language-processing', 'machine-learning', 'logging', 'python']",8,7,12,2,6,Python,37,1,1,1,4,43,0,0,0,,,,
hfwittmann/colab-mlflow-papermill,https://github.com/hfwittmann/colab-mlflow-papermill,FALSE,9/14/2019 11:11,[],11,0,3,0,1,Jupyter Notebook,9,0,0,1,0,5,0,0,0,,,,
submission2019/cnn-quantization,https://github.com/submission2019/cnn-quantization,FALSE,1/20/2019 8:00,"['quantization', 'gemmlowp-quantization', 'convolutional-neural-networks']",186,8,50,0,2,Python,2846,13,0,1,0,72,0,0,0,,,,
Ipsedo/MARLClassification,https://github.com/Ipsedo/MARLClassification,FALSE,6/14/2019 8:14,"['pytorch', 'image-classification', 'reinforcement-learning', 'multi-agent-system', 'article']",18,2,3,0,1,Python,108402,0,0,2,0,279,0,0,0,,,,
valeriano-manassero/udacity-projects,https://github.com/valeriano-manassero/udacity-projects,FALSE,11/21/2018 11:30,"['machine-learning', 'deep-learning', 'artificial-intelligence', 'tensorflow', 'keras', 'pytorch', 'udacity']",12,1,15,0,2,Jupyter Notebook,14934,0,0,1,0,34,0,0,0,,,,
talipucar/SimCLR,https://github.com/talipucar/SimCLR,FALSE,1/8/2021 11:19,"['simclr', 'self-supervised-learning', 'self-supervised', 'pytorch']",6,1,0,0,2,Python,2344,0,0,1,0,15,0,0,0,,,,
mysterious-ben/ds-examples,https://github.com/mysterious-ben/ds-examples,FALSE,4/19/2020 22:19,[],6,1,1,0,1,Jupyter Notebook,38395,19,19,20,0,84,0,0,0,,,,
amineds/databricks,https://github.com/amineds/databricks,FALSE,7/6/2021 7:58,[],5,1,5,0,1,Python,6202,0,0,1,0,18,0,0,0,,,,
BookletAI/lead-scoring-demo,https://github.com/BookletAI/lead-scoring-demo,FALSE,3/6/2020 0:21,"['lead-scoring', 'mlflow', 'sagemaker', 'sklearn']",17,2,7,0,1,Jupyter Notebook,413,10,10,12,0,11,0,0,0,,,,
odahu/odahu-docs,https://github.com/odahu/odahu-docs,FALSE,11/6/2019 8:02,[],7,4,1,0,9,Python,13103,14,1,32,49,100,0,0,0,,,,
jeanCarloMachado/PythonSearch,https://github.com/jeanCarloMachado/PythonSearch,FALSE,7/24/2021 19:40,"['search', 'search-engine', 'python', 'ranking', 'machine-learning']",7,3,2,0,3,Python,4035,0,0,6,0,663,0,0,87,,,,
Cai-Yichao/yolov4-torch-cp,https://github.com/Cai-Yichao/yolov4-torch-cp,FALSE,1/13/2021 6:59,['pytorch-yolov4'],5,1,1,1,1,Python,7831,0,0,1,1,16,0,0,0,,,,
ricardo-jr37/mlflow_tutorial,https://github.com/ricardo-jr37/mlflow_tutorial,FALSE,6/7/2021 15:23,[],8,1,1,0,1,Jupyter Notebook,379,0,0,1,0,4,0,0,0,,,,
Ankur3107/nlp_notebooks,https://github.com/Ankur3107/nlp_notebooks,FALSE,8/23/2020 8:10,"['tensorflow', 'python', 'pytorch', 'transformer', 'transformers', 'fastai', 'nlp', 'colab-notebook', 'colab', 'lstm', 'classification', 'question-answering', 'machine-translation', 'bert', 'huggingface', 'huggingface-transformers']",44,4,11,0,1,Jupyter Notebook,9067,0,0,2,0,33,0,0,1,,,,
j-v-n/Springboard,https://github.com/j-v-n/Springboard,FALSE,11/1/2019 11:24,[],5,1,3,0,1,Jupyter Notebook,21680,0,0,1,0,55,0,0,0,,,,
dmatrix/tmls-workshop,https://github.com/dmatrix/tmls-workshop,FALSE,11/16/2020 0:44,"['mlflow', 'machine-learning', 'mlops']",25,3,6,0,1,Jupyter Notebook,70615,0,0,1,0,88,0,0,0,,,,
michaelgroeger/boxshrink,https://github.com/michaelgroeger/boxshrink,FALSE,7/27/2022 15:08,[],9,2,0,0,1,Python,93207,0,0,1,0,43,0,0,0,,,,
nbroad1881/stride-former,https://github.com/nbroad1881/strideformer,FALSE,8/19/2022 23:31,[],7,1,1,0,1,Python,100,0,0,2,0,47,0,0,0,,,,
Ycallaer/ArimaMlfowExample,https://github.com/Ycallaer/ArimaMlfowExample,FALSE,12/17/2018 9:38,"['python3', 'python', 'arimax', 'mlflow']",7,2,2,0,1,Python,7,1,0,2,0,3,0,0,0,,,,
hendrycks/jiminy-cricket,https://github.com/hendrycks/jiminy-cricket,FALSE,8/28/2021 2:34,"['ml-safety', 'machine-ethics']",15,2,3,0,3,ZAP,200138,0,0,1,0,30,0,0,0,,,,
bhavink/databricks,https://github.com/bhavink/databricks,FALSE,8/17/2019 11:40,"['databricks', 'azure-databricks', 'databricks-rest-api', 'databricks-dbconnect', 'databricks-platform', 'databricks-cli', 'deltalake', 'security']",29,6,26,0,1,Jupyter Notebook,13544,1,1,3,0,249,0,0,4,,,,
microsoft/AdaMix,https://github.com/microsoft/AdaMix,FALSE,5/24/2022 22:52,"['adapter', 'nlp', 'pytorch', 'parameter-efficient', 'bert', 'glue', 'nlu', 'roberta']",38,4,5,0,4,Python,17423,11,11,12,0,20,0,0,0,,,,
databricks-academy/ml-in-production-english,https://github.com/databricks-academy/ml-in-production-english,FALSE,7/23/2021 1:58,[],64,4,57,13,2,Python,461,0,0,6,13,40,0,0,0,,,,
qcwthu/Continual_Fewshot_Relation_Learning,https://github.com/qcwthu/Continual_Fewshot_Relation_Learning,FALSE,3/3/2022 7:19,[],9,1,0,0,1,Python,11356,5,0,1,0,19,0,0,0,,,,
kurupical/commonlit,https://github.com/kurupical/commonlit,FALSE,5/26/2021 12:27,[],10,3,2,0,1,Python,1028,0,0,1,0,19,0,0,0,,,,
MBKraus/incremental_training,https://github.com/MBKraus/incremental_training,FALSE,10/25/2019 11:42,"['mlflow', 'kafka', 'airflow', 'data-science', 'keras', 'docker', 'docker-compose', 'incremental-learning']",105,7,50,0,2,Python,110927,5,2,3,0,61,0,0,0,,,,
kssteven418/LTP,https://github.com/kssteven418/LTP,FALSE,7/1/2021 2:50,"['natural-language-processing', 'transformer', 'bert', 'pruning', 'model-compression', 'efficient-model', 'efficient-neural-networks']",51,1,7,0,1,Python,42265,5,0,4,0,6,0,0,0,,,,
cisco-open/flame,https://github.com/cisco-open/flame,FALSE,10/6/2021 1:21,[],18,3,11,7,10,Go,6599,21,12,12,7,336,0,0,0,,,,
mharty3/energy_data_capstone,https://github.com/mharty3/energy_data_capstone,FALSE,3/4/2022 4:52,[],25,2,2,0,1,Jupyter Notebook,12253,6,0,2,0,182,0,0,0,,,,
shgidi/stupid_cv,https://github.com/shgidi/stupid_cv,FALSE,10/30/2019 14:51,[],29,5,2,0,1,Python,26,0,0,1,0,14,0,0,0,,,,
audi/nucleus7,https://github.com/audi/nucleus7,FALSE,12/10/2019 14:07,"['nucleus7', 'deep-learning', 'tensorflow']",32,3,8,0,4,Python,7334,7,3,3,1,6,0,0,3,,,,
arnabdeypolimi/Image-classification-PyTorch-MLflow,https://github.com/arnabdeypolimi/Image-classification-PyTorch-MLflow,FALSE,4/12/2020 21:27,"['python', 'pytorch', 'transfer-learning', 'image-classification', 'mlflow', 'mlflow-pytorch', 'imageclassification', 'vgg16', 'squeezenet', 'inceptionv3', 'resnet', 'densenet', 'torchvision', 'fine-tuning']",7,2,0,0,1,Jupyter Notebook,150,0,0,2,0,34,0,0,11,,,,
geekbass/argo-examples,https://github.com/geekbass/argo-examples,FALSE,3/23/2021 17:38,[],5,3,0,0,1,Python,968,0,0,9,0,176,0,0,0,,,,
LambdaLabsML/examples,https://github.com/LambdaLabsML/examples,FALSE,7/7/2022 13:06,[],341,10,45,0,3,Jupyter Notebook,43972,14,1,5,0,33,0,0,0,,,,
ivanovitchm/mlops,https://github.com/ivanovitchm/mlops,FALSE,10/25/2021 12:40,[],81,12,17,0,1,Jupyter Notebook,32349,0,0,1,0,144,0,0,0,,,,
ashishpatel26/MLflow_End_to_End_Example,https://github.com/ashishpatel26/MLflow_End_to_End_Example,FALSE,6/14/2022 12:52,"['mlflow', 'mlflow-tracking', 'scikit-learn', 'xgboost', 'mlflow-example']",8,1,8,0,1,Jupyter Notebook,1641,0,0,1,0,4,0,0,0,,,,
fau-is/grm,https://github.com/fau-is/grm,FALSE,7/29/2020 17:08,[],9,4,2,0,3,Python,46107,0,0,1,0,24,0,0,0,,,,
