Repo,Link,Archived,Creation Date,Description,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
stanfordnlp/phrasenode,https://github.com/stanfordnlp/phrasenode,False,2018-08-27 05:14:07,Mapping natural language commands to web elements,[],31,12,12,0,3,Python,265,1,0,1,0,30,0,0,0
Evgeneus/Label-Smoothing-in-Text-Classification,https://github.com/Evgeneus/Label-Smoothing-in-Text-Classification,False,2020-01-24 15:36:17,Soft Target and Label Smoothing in Text Classification for  Probability Calibration of Output Distributions.,"['label-smoothing', 'soft-targets', 'crowd-votes', 'nlp', 'transformer', 'label-distribution', 'machine-learning', 'text-classification', 'document-management', 'calibration', 'crowd-labels']",7,2,0,0,2,Python,118914,0,0,2,0,140,0,0,0
homemade/scl,https://github.com/homemade/scl,False,2016-11-08 12:01:58,The Sepia Configuration Language is an extension of the Hashicorp Configuration Language. SCL is to HCL as Sass is to CSS.,[],19,4,1,0,2,Go,57,0,0,2,16,82,0,0,0
sclorg/scl-utils,https://github.com/sclorg/scl-utils,False,2014-12-05 10:54:56,Tool to setup and run software from Software Collection environment,[],12,10,22,0,12,C,132,18,5,2,6,137,3,0,0
kelvinguu/neural-editor,https://github.com/kelvinguu/neural-editor,False,2017-09-26 09:51:35,"Repository for ""Generating Sentences by Editing Prototypes""",[],327,30,60,0,1,Python,172,15,1,2,0,11,0,0,0
intel/OpenVINO-optimization-for-PointPillars,https://github.com/intel/OpenVINO-optimization-for-PointPillars,False,2021-12-13 23:21:17,OpenVINO™ optimization for PointPillars*,[],15,2,3,0,3,C++,55649,0,0,1,0,14,0,0,0
apache/tcl-rivet,https://github.com/apache/tcl-rivet,False,2018-07-18 10:39:07,Apache Tcl  Rivet,['tcl'],14,7,6,0,3,C,7154,0,0,15,34,1323,0,0,0
bq/aquaris-M10-FHD,https://github.com/bq/aquaris-M10-FHD,False,2016-02-01 18:19:42,Linux Kernel source code for the device bq Aquaris M10 FHD,[],5,10,8,0,0,C,332295,0,0,2,11,6,0,0,0
KusionStack/KCLVM,https://github.com/KusionStack/KCLVM,False,2022-05-05 07:02:26,A constraint-based record & functional language mainly used in configuration and policy scenarios.,"['record', 'configuration', 'functional', 'policy', 'language', 'rust', 'programming-languages', 'configuration-language', 'as-code', 'compiler']",116,1,19,7,7,Rust,3839,45,2,1,8,172,5,0,0
Xilinx/AWS-F1-Developer-Labs,https://github.com/Xilinx/AWS-F1-Developer-Labs,False,2018-07-03 16:32:06,AWS F1 Xilinx Developer Labs,[],20,6,9,0,1,C++,12209,2,0,1,0,2,0,0,0
USC-NSL/SPA,https://github.com/USC-NSL/SPA,False,2014-12-30 08:14:05,Systematic Protocol Analysis Project,[],10,23,9,0,2,,1158528,0,0,1,0,1618,0,0,0
robinjia/adversarial-squad,https://github.com/robinjia/adversarial-squad,False,2017-07-21 17:11:46,"Code from Jia and Liang, ""Adversarial Examples for Evaluating Reading Comprehension Systems"" (EMNLP 2017)",[],115,6,26,0,1,Python,378,1,0,1,0,3,0,0,0
dazcona/mrnet,https://github.com/dazcona/mrnet,False,2020-10-18 21:30:02,😷 MRNet: A Comparative Study of Existing and New Deep Learning Methods for Detecting Knee Injuries using the MRNet Dataset,[],8,2,1,0,0,Jupyter Notebook,35397,1,0,1,0,1,0,0,0
landing-ai/data-centric-comp,https://github.com/landing-ai/data-centric-comp,False,2021-05-05 18:31:31,,[],11,3,0,0,2,JavaScript,34339,0,0,2,0,35,0,0,32
stunback/yolox_for_cann_atlas200dk,https://github.com/HITSZ-NRSL/yolox_for_cann_atlas200dk,False,2021-07-31 03:20:46,,[],12,1,4,0,1,Python,19140,1,0,1,0,3,0,0,0
p-lambda/in-n-out,https://github.com/p-lambda/in-n-out,False,2020-10-08 23:00:33,"Code for the ICLR 2021 Paper ""In-N-Out: Pre-Training and Self-Training using Auxiliary Information for Out-of-Distribution Robustness""","['out-of-distribution', 'robustness', 'pre-training', 'self-training']",11,13,0,0,3,Python,857,1,0,1,0,63,0,0,0
stanfordnlp/coqa-baselines,https://github.com/stanfordnlp/coqa-baselines,False,2018-09-15 02:17:23,The baselines used in the CoQA paper,[],172,15,49,0,3,Python,75,5,0,2,0,46,0,0,0
equinor/xtgeo,https://github.com/equinor/xtgeo,False,2018-02-22 13:47:12,"XTGeo Python class library for subsurface Surfaces, Cubes, Wells, Grids, Points, etc",[],87,19,39,170,16,Python,8759,69,1,9,312,2071,0,0,0
kshannon/abnormal-xray-detection,https://github.com/kshannon/abnormal-xray-detection,False,2018-06-18 00:03:57,Repo for Stanford's MURA Bone X-Ray Deep Learning Competition,"['deep-learning', 'medical-imaging', 'tensorflow', 'mura-dataset']",9,4,7,0,2,Python,1931,0,0,1,0,47,0,0,0
WHULuoJiaTeam/luojianet,https://github.com/WHULuoJiaTeam/luojianet,False,2022-05-24 07:44:49,,[],96,8,25,1,4,C++,231307,1,0,3,7,93,0,0,0
smashse/iac-public,https://github.com/smashse/iac-public,False,2020-05-12 19:59:24,This is a repository for sharing examples of infrastructure provisioning using IAC tools.,"['pulumi', 'infrastructure', 'terraform', 'devops', 'iac', 'hcl', 'python']",13,0,7,0,1,HCL,124,0,0,1,0,81,0,0,0
markleybros/yer-face,https://github.com/markleybros/yer-face,False,2017-10-28 15:41:58,YerFace! A stupid facial performance capture engine for cartoon animation.,"['performance-capture', 'cartoon-animation', 'lip-sync', 'yerface']",24,3,6,5,1,C++,984,0,0,2,5,484,0,0,0
ipspace/blog,https://github.com/ipspace/blog,False,2021-07-23 18:22:25,ipSpace.net blog,[],11,3,0,0,2,HTML,154026,0,0,2,0,856,0,0,0
shibei00/Cross-Lingual-Topic-Model,https://github.com/shibei00/Cross-Lingual-Topic-Model,False,2017-10-25 07:06:38,"A topic model which can identify bilingual topics across unaligned corpus using dictionary. An implementation of the paper ""Detecting Common Discussion Topics Across Culture From News Reader Comments (Shi et al., ACL2016)""","['topic-modeling', 'python', 'bilingual']",13,3,0,0,1,Roff,8695,0,0,1,0,13,0,0,0
rarible/sdk,https://github.com/rarible/sdk,False,2021-10-05 10:00:49,,[],61,18,27,1,12,TypeScript,9006,12,3,26,322,928,1,0,0
MCZhi/Expert-Prior-RL,https://github.com/MCZhi/Expert-Prior-RL,False,2021-09-15 08:20:14,(TNNLS) Imitative Expert Prior-Guided Reinforcement Learning https://mczhi.github.io/Expert-Prior-RL/,['deep-reinforcement-learning'],30,1,4,0,1,Python,264622,2,0,2,0,86,0,0,57
strin/cbt-model,https://github.com/strin/cbt-model,False,2016-04-13 03:14:23,algorithms for solving the Children's Book Test (CBT),[],10,3,6,0,1,Python,43,0,0,1,0,19,0,0,0
fayola21/farsec,https://github.com/fayola21/farsec,False,2016-12-02 15:25:40,,[],5,2,4,0,1,Clojure,134380,0,0,1,0,30,0,0,0
Teamxrtc/webrtc-streaming-node,https://github.com/Teamxrtc/webrtc-streaming-node,False,2015-12-10 18:55:35,,[],6,4,5,0,1,C++,131201,2,1,1,0,2,0,0,0
AnanyaKumar/transfer_learning,https://github.com/AnanyaKumar/transfer_learning,False,2020-11-24 19:54:12,"Framework code with wandb, checkpointing, logging, configs, experimental protocols. Useful for fine-tuning models or training from scratch, and testing them on a variety of datasets (transfer learning)",[],21,6,3,0,1,Python,5177,0,0,2,0,56,0,0,0
NVIDIA/deepops,https://github.com/NVIDIA/deepops,False,2018-05-24 22:59:36,Tools for building GPU clusters,[],870,51,267,18,57,Shell,19328,20,4,15,21,3683,5,0,0
micans/mcl,https://github.com/micans/mcl,False,2021-04-08 17:13:00,"MCL, the Markov Cluster algorithm, also known as Markov Clustering, is a method and program for clustering weighted or simple networks, a.k.a. graphs.","['clustering', 'markov-clustering', 'network-analysis', 'network-clustering', 'graph-clustering', 'markov-cluster-algorithm', 'mcl']",32,3,6,0,2,C,2582,0,0,4,0,244,0,0,0
wenlinyao/EMNLP20-SubeventAcquisition,https://github.com/wenlinyao/EMNLP20-SubeventAcquisition,False,2020-09-29 20:12:11,"This is the release of the EMNLP2020 paper ""Weakly Supervised Subevent Knowledge Acquisition""",[],5,1,1,0,1,Python,36465,2,0,1,0,9,0,0,0
kohpangwei/group-influence-release,https://github.com/kohpangwei/group-influence-release,False,2019-05-30 19:48:31,,[],41,6,8,0,2,Python,6263,6,2,4,0,33,0,0,0
efabless/proton,https://github.com/efabless/proton,False,2016-10-25 02:16:52,,[],27,16,11,0,4,Perl,43511,8,2,1,0,126,0,0,0
YcheCourseProject/CommunityDetection,https://github.com/YcheCourseProject/CommunityDetection,False,2015-11-11 13:01:35,KDD Course Project - Implementation of Community Detection Algorithms and Evaluations and Some Datasets (港科博一时候KDD课程作业) - by Shixuan Sun (https://github.com/shixuansun) and Yulin CHE (https://github.com/CheYulin),[],37,4,23,0,1,C,197214,0,0,3,0,92,0,0,0
rise-lang/shine,https://github.com/rise-lang/shine,False,2019-12-20 12:08:54,The Shine compiler for the RISE language,"['rise', 'shine', 'compiler']",38,10,4,0,12,Scala,11536,63,8,65,1,2805,1,0,0
Anwarvic/Dan-Jurafsky--Chris-Manning--NLP,https://github.com/Anwarvic/Dan-Jurafsky--Chris-Manning--NLP,False,2017-12-14 12:46:47,"My solution to the Natural Language Processing course made by Dan Jurafsky, Chris Manning in Winter 2012.","['autocorrector', 'autocorrection', 'regular-expression', 'regular-expressions', 'sentiment-analysis', 'sentiment-classification', 'ner', 'named-entity-recognition', 'parsing', 'parser', 'cky-parser', 'cky-algorithm', 'cky', 'information-retrieval', 'information-extraction', 'question-answering', 'nlp', 'nlp-machine-learning', 'text-classification', 'text-processing']",152,8,53,0,1,Java,52088,0,0,1,0,26,0,0,0
MI2DataLab/WildNLP,https://github.com/MI2DataLab/WildNLP,False,2019-03-07 15:35:59,,[],74,10,4,2,5,Python,9109,3,3,4,2,64,0,0,23
srz-zumix/wandbox-api,https://github.com/srz-zumix/wandbox-api,False,2014-12-24 08:31:27,"Wandbox API for Python, and wrapper CLI commands","['python', 'wandbox', 'wandbox-api', 'wandbox-cxx']",6,2,1,38,3,Python,352,2,0,2,38,270,0,0,0
futurulus/colors-in-context,https://github.com/futurulus/colors-in-context,False,2018-03-11 06:53:33,Code and data for Colors in Context and Generating Bilingual Pragmatic Color References,[],10,1,0,0,6,OpenEdge ABL,53896,0,0,1,0,819,0,0,0
johandry/CKAD,https://github.com/johandry/CKAD,False,2019-11-04 05:02:45,Kubernetes for Developers training notes to take the Certified Kubernetes Application Developer (CKAD),[],15,3,32,0,1,Shell,3001,0,0,1,0,39,0,0,0
huawei-noah/SMARTS,https://github.com/huawei-noah/SMARTS,False,2020-10-07 02:11:23,Scalable Multi-Agent RL Training School for Autonomous Driving,"['reinforcement-learning', 'python']",663,14,151,19,12,Python,299801,307,23,61,22,338,1,0,0
ad-si/RosettaGit,https://github.com/ad-si/RosettaGit,False,2019-10-26 23:41:27,Solutions to tasks in over 700 programming languages,"['chrestomathy', 'polyglot', 'omniglot', 'comparison', 'programming-languages']",184,12,13,0,4,HTML,68419,22,1,1,0,45,0,0,0
codalab/worksheets-examples,https://github.com/codalab/worksheets-examples,False,2018-10-27 21:14:14,Examples and tutorials for CodaLab Worksheets.,[],36,13,17,0,7,Python,6429,6,0,3,0,61,0,0,0
