Repo,Error
Algodev-github/bfq-mq,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
synereo/synereo,Unrelevant
xerpi/linux_vita,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
projects-nexus/nexus_kernel_xiaomi_gauguin,"404 {""message"": ""Not Found"", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#get-a-repository""}"
LineageOS/android_kernel_xiaomi_sm6250,Unrelevant
Atom-X-Devs/android_kernel_qcom_sdm660,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
EcrosoftXiao/kernel_xiaomi_cepheus,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
OnePlusOSS/android_kernel_oneplus_sm8250,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
projects-nexus/nexus_kernel_xiaomi_sm8250,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
arter97/android_kernel_xiaomi_sm6150,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
OnePlusOSS/android_kernel_msm-5.10_oneplus_sm8450,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
uoftsystems/dm-inject,Unrelevant
ivanmeler/android_kernel_samsung_beyondlte,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
ntrippar/ARPwner,Unrelevant
kmou424/android_kernel_xiaomi_sm8150,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
brianwc/bulk_scotus,Unrelevant
DiabloHorn/DiabloHorn,Unrelevant
onlyliuxin/coding2017,Unrelevant
microsoft/WSL2-Linux-Kernel,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
LuLi0077/AI,Unrelevant
xdevs23/linux-nitrous,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
philferriere/aind-projects,Unrelevant
NVSL/linux-nova,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
koverstreet/bcachefs,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
PixelPlusUI-Devices/kernel_xiaomi_sm8250,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
keystone-enclave/riscv-linux,Unrelevant
mt6893/android_kernel_xiaomi_mt6893,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
android-rpi/kernel_arpi,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
raphael/linux-samus,Unrelevant
pundiramit/linux,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
diegoalejogm/AI-Nanodegree,Unrelevant
RadeonOpenCompute/ROCK-Kernel-Driver,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
JiaHeng-DLUT/Webshell-samples,Unrelevant
Atom-X-Devs/android_kernel_xiaomi_scarlet,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
hophacker/bitcoin_public_data,Unrelevant
Klozz/android_kernel_xiaomi_sm6250,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
huomiaocode/SocketPacket,Unrelevant
vantoman/kernel_xiaomi_sm6150,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
