Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
unit8co/vegans,https://github.com/unit8co/vegans,False,2019-01-05 11:07:13,2018-12-28 16:42:56,2021-11-09 20:41:26,[],467,16,37,3,3,HTML,119053,47,40,7,176,0,14
vidhyadharan-k/YOLOv7-Semantic-Segmentation,https://github.com/vidhyadharan-k/YOLOv7-Semantic-Segmentation,False,2022-09-27 17:28:12,2022-09-27 17:28:12,2022-09-28 17:25:31,[],7,1,1,0,1,Python,1402,1,0,1,12,0,0
r0bin-dood/sbu-rezi,https://github.com/r0bin-dood/sbu-rezi,False,2022-09-19 20:58:13,2022-09-19 20:58:14,2022-09-23 23:08:19,[],6,1,2,0,2,Python,96001,0,0,1,19,0,0
jizhishutong/YOLOU,https://github.com/jizhishutong/YOLOU,False,2022-07-25 14:14:06,2022-07-25 14:36:06,2022-10-25 02:12:12,"['yolo', 'ncnn', 'openvino', 'tensorrt', 'tengine', 'yolov5', 'yolov6', 'yoloe']",627,13,113,0,3,Jupyter Notebook,335729,47,7,6,46,0,0
sillsdev/machine.py,https://github.com/sillsdev/machine.py,False,2021-07-22 04:04:46,2021-07-22 04:04:47,2022-11-17 06:16:07,[],6,7,1,0,1,Python,1883,4,1,3,234,0,0
coqui-ai/STT,https://github.com/coqui-ai/STT,False,2021-03-04 04:54:42,2016-02-22 11:08:37,2022-09-03 23:04:15,"['stt', 'speech-to-text', 'tensorflow', 'deep-learning', 'automatic-speech-recognition', 'asr', 'voice-recognition', 'speech-recognition', 'speech-recognizer', 'speech-recognition-api']",1610,51,168,32,154,C++,56000,365,199,25,4107,12,0
pytorch-ignite/pytorch-ignite.ai,https://github.com/pytorch-ignite/pytorch-ignite.ai,False,2021-06-16 10:20:30,2021-06-16 10:20:44,2022-11-11 13:42:11,['pytorch-ignite'],7,5,6,0,11,Jupyter Notebook,9212,160,126,6,182,0,126
harrywang/tutorial-buffet,https://github.com/harrywang/tutorial-buffet,False,2018-02-09 01:50:53,2018-02-09 01:50:54,2022-04-10 01:47:39,[],10,4,7,0,1,Jupyter Notebook,42481,3,3,2,58,0,0
coqui-ai/Trainer,https://github.com/coqui-ai/Trainer,False,2021-10-11 13:54:26,2021-10-11 13:55:40,2022-11-19 23:32:06,"['pytorch', 'deep-learning', 'machine-learning', 'ai', 'data-science']",43,7,23,12,8,Python,282,60,39,17,155,0,0
thepycoder/pushup_lockscreen,https://github.com/thepycoder/pushup_lockscreen,False,2021-12-22 18:06:56,2021-12-29 11:12:54,2022-10-11 13:06:36,[],50,3,6,0,1,Python,47875,0,0,1,75,0,0
explosion/spacy-loggers,https://github.com/explosion/spacy-loggers,False,2021-09-13 23:08:57,2021-09-13 23:10:40,2022-10-31 10:25:17,"['nlp', 'spacy', 'natural-language-processing', 'machine-learning', 'logging', 'python']",9,7,13,2,7,Python,39,13,13,1,44,0,0
RizwanMunawar/yolov5-object-tracking,https://github.com/RizwanMunawar/yolov5-object-tracking,False,2022-09-11 11:01:43,2022-09-11 11:01:44,2022-11-01 05:20:34,"['computer-vision', 'object-detection', 'object-tracking', 'streamlit-dashboard', 'yolov5']",25,2,4,1,1,Python,4365,2,0,1,15,0,0
zetang94/ICSE2022_AST_Trans,https://github.com/zetang94/ICSE2022_AST_Trans,False,2022-01-28 13:02:02,2022-01-28 13:02:03,2022-08-08 06:49:16,[],12,2,3,0,1,Python,6236,2,0,1,6,0,0
RizwanMunawar/yolov7-segmentation,https://github.com/RizwanMunawar/yolov7-segmentation,False,2022-08-19 13:23:09,2022-08-19 13:23:10,2022-11-18 10:30:31,"['yolov7-mask', 'imagesegmentation', 'medium-article', 'opencv-python', 'yolov5']",96,3,32,1,2,Python,5211,29,4,1,98,0,0
GuyTevet/motion-diffusion-model,https://github.com/GuyTevet/motion-diffusion-model,False,2022-09-29 11:24:35,2022-09-29 11:24:36,2022-11-15 13:57:24,[],1463,63,113,0,2,Python,2941,45,3,1,21,0,0
allegroai/clearml-blogs,https://github.com/allegroai/clearml-blogs,False,2020-02-02 13:09:56,2020-02-02 13:09:58,2022-07-13 22:19:07,[],10,7,2,0,3,Python,586,20,20,1,34,0,0
okojoalg/sequencer,https://github.com/okojoalg/sequencer,False,2022-04-24 16:24:35,2022-04-25 10:45:42,2022-10-07 15:10:02,[],104,3,18,1,1,Python,341,8,6,2,22,0,0
huggingface/transformers,https://github.com/huggingface/transformers,False,2018-10-29 13:56:00,2018-10-29 13:56:02,2022-11-18 20:06:25,"['nlp', 'natural-language-processing', 'pytorch', 'language-model', 'tensorflow', 'bert', 'language-models', 'pytorch-transformers', 'nlp-library', 'transformer', 'model-hub', 'pretrained-models', 'jax', 'flax', 'seq2seq', 'speech-recognition', 'hacktoberfest', 'python', 'machine-learning', 'deep-learning']",74504,863,16955,105,438,Python,112277,20257,9868,142,11375,292,0
yizt/notebook,https://github.com/yizt/notebook,False,2018-07-05 07:19:48,2018-07-09 00:25:18,2022-08-15 03:52:57,['notebook'],6,2,3,0,1,Jupyter Notebook,45790,0,0,1,207,0,140
ultralytics/yolov5,https://github.com/ultralytics/yolov5,False,2020-05-18 03:45:11,2020-05-30 00:04:54,2022-11-19 15:44:56,"['yolov3', 'yolov4', 'yolov5', 'object-detection', 'pytorch', 'onnx', 'coreml', 'ios', 'tflite', 'yolo', 'deep-learning', 'machine-learning', 'ml']",32940,330,11856,9,277,Python,14001,9269,2205,11,2482,109,0
HerringForks/SMDDP-Examples,https://github.com/HerringForks/SMDDP-Examples,False,2021-08-10 20:21:11,2019-11-28 08:48:59,2022-09-15 21:02:43,[],6,7,11,0,19,Python,3825,25,25,2,78,0,0
Deci-AI/super-gradients,https://github.com/Deci-AI/super-gradients,False,2021-11-28 07:58:02,2021-11-28 07:59:12,2022-11-16 14:14:02,"['deep-learning', 'neural-network', 'pretrained-weights', 'pretrained-models', 'pytorch', 'object-detection', 'image-classification', 'computer-vision', 'semantic-segmentation', 'imagenet', 'transfer-learning']",488,17,46,27,21,Jupyter Notebook,107100,496,482,107,1465,2,410
BibleNLP/ebible,https://github.com/BibleNLP/ebible,False,2021-08-22 00:42:27,2021-08-22 00:42:28,2022-10-27 22:23:51,[],13,3,0,0,4,Jupyter Notebook,565155,5,3,2,28,0,0
sillsdev/silnlp,https://github.com/sillsdev/silnlp,False,2020-11-20 06:31:42,2020-01-06 13:24:46,2022-11-15 08:49:32,[],17,8,3,0,6,Python,11951,145,20,15,595,7,6
open-mmlab/mmcv,https://github.com/open-mmlab/mmcv,False,2018-08-22 07:05:26,2018-08-22 07:05:26,2022-11-18 08:53:24,[],4522,82,1282,54,224,Python,13520,2412,1543,4,1261,3,0
