Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
creativelifeform/three-nebula,https://github.com/creativelifeform/three-nebula,False,2018-11-16 23:27:56,2016-10-28 06:25:58,2022-08-07 10:06:16,"['webgl', 'threejs', 'particles', 'javascript']",648,19,49,1,5,JavaScript,16381,205,130,16,526,0,54
formidablae/Exercism,https://github.com/formidablae/Exercism,False,2021-10-23 04:21:39,2021-10-23 04:42:26,2022-09-24 12:17:20,"['exercism', 'exercism-track', 'exercism-solutions', 'exercism-exercises']",11,1,0,0,1,C++,2124,211,20,8,63,0,0
fffaraz/datasets,https://github.com/fffaraz/datasets,False,2020-01-19 02:49:56,2020-01-19 02:49:57,2021-01-23 17:24:54,"['dataset', 'data-science', 'data-mining']",5,2,4,0,1,,379323,0,0,1,21,0,0
cogtoolslab/lax-cogsci22,https://github.com/cogtoolslab/lax-cogsci22,False,2022-04-26 20:22:10,2022-04-26 20:22:11,2022-08-15 23:02:39,[],6,4,1,0,3,Jupyter Notebook,45251,1,1,2,29,0,0
wikimedia/mobileapps,https://github.com/wikimedia/mobileapps,False,2015-03-18 09:46:29,2015-02-16 14:46:01,2022-11-15 13:36:41,[],10,17,12,0,32,JavaScript,14035,2,2,7,2684,1,0
jdlrobson/weekipedia,https://github.com/jdlrobson/weekipedia,False,2016-07-06 00:29:40,2016-07-05 19:36:02,2019-10-29 21:20:37,[],11,3,2,0,3,JavaScript,3399,160,5,12,1018,0,143
ekzhang/percival,https://github.com/ekzhang/percival,False,2021-10-26 17:53:30,2021-10-26 17:53:07,2022-04-28 05:02:55,"['data-visualization', 'datalog', 'logic-programming', 'query-language', 'dsl', 'reactive', 'visualization', 'charts', 'notebook']",476,12,16,0,2,Rust,622,17,10,2,109,1,108
Elisseeff-Lab/domino,https://github.com/Elisseeff-Lab/domino,False,2020-01-29 15:41:16,2020-01-29 15:41:17,2022-06-06 22:29:07,[],9,1,4,0,2,R,821,19,9,2,41,0,0
hmoytx/WVS,https://github.com/hmoytx/WVS,False,2018-07-21 07:09:16,2018-07-21 07:14:39,2021-04-23 06:27:52,[],31,2,9,0,1,Python,433,0,0,1,8,0,0
WebDevSimplified/vscode-extension-pizza,https://github.com/WebDevSimplified/vscode-extension-pizza,False,2021-04-15 17:54:33,2021-04-15 17:46:11,2021-08-04 14:48:55,[],56,4,7,0,2,TypeScript,125,2,1,1,6,0,0
harry1080/AutoFuck,https://github.com/harry1080/AutoFuck,False,2018-04-19 06:39:12,2017-02-20 09:25:03,2018-04-19 03:17:51,[],32,2,24,0,2,Python,887,0,0,1,86,0,0
woq-blended/blended,https://github.com/woq-blended/blended,False,2014-06-30 11:31:34,2013-06-27 10:10:12,2022-08-13 05:53:01,"['scala', 'osgi', 'test-automation', 'deployment', 'scalajs', 'akka', 'akka-stream']",37,7,4,1,7,Scala,57162,147,53,13,4080,4,141
dzierzanowski/spiewnik-szant,https://github.com/dzierzanowski/spiewnik-szant,False,2021-03-21 17:48:57,2021-03-19 08:48:31,2021-07-31 18:34:31,"['songbook', 'leadsheets', 'tex', 'music', 'guitar', 'shanties', 'polski']",8,3,1,1,3,TeX,42343,28,2,2,169,0,0
zalando-stups/react-automatic-width,https://github.com/zalando-stups/react-automatic-width,False,2015-10-26 12:10:37,2015-10-26 12:10:37,2017-06-06 15:39:26,"['react', 'resize-observer', 'listener']",10,17,3,1,3,JavaScript,74,13,6,2,47,0,0
wa3dbk/ScribeSalad,https://github.com/wa3dbk/ScribeSalad,False,2018-12-01 00:10:03,2018-12-01 00:10:04,2022-11-19 14:04:22,"['youtube-video', 'youtube-videos-transcripts', 'joe-rogan-experience', 'jordan-b-peterson', 'artificial-intelligence', 'history', 'social-issues', 'politics', 'yalecourses', 'science', 'video', 'multilingual', 'transcripts']",44,8,24,0,1,,11163046,2,2,2,2266,0,0
YaoMarkMu/DOMINO_MB-MetaRL,https://github.com/YaoMarkMu/DOMINO_MB-MetaRL,False,2022-09-16 02:44:15,2022-09-16 02:44:15,2022-09-16 05:52:07,[],18,1,1,0,1,Python,542,0,0,1,8,0,0
LukeXeon/gitee-weex,https://github.com/LukeXeon/gitee-weex,False,2020-07-01 09:01:02,2020-06-08 07:50:28,2020-08-08 08:59:28,[],5,2,0,0,1,Vue,8226,0,0,1,126,0,0
bgoonz/UsefulResourceRepo3.0,https://github.com/bgoonz/UsefulResourceRepo3.0,False,2021-10-08 12:26:54,2021-10-08 12:30:00,2022-03-07 06:34:49,[],7,2,6,0,3,,5914791,255,254,131,693,82,76
rkoval/order-me-pizza,https://github.com/rkoval/order-me-pizza,False,2016-02-15 22:50:37,2016-04-01 02:31:30,2022-06-01 23:14:54,['pizza'],9,2,2,0,1,JavaScript,335,7,6,1,44,0,0
exercism/z3,https://github.com/exercism/z3,False,2021-02-16 15:17:42,2021-02-16 15:17:42,2022-05-24 14:25:07,['exercism-track'],8,9,10,0,11,Python,183,103,80,8,192,0,0
w3c/trusted-types,https://github.com/w3c/trusted-types,False,2017-09-15 13:26:39,2017-09-15 13:42:13,2022-10-21 06:47:41,"['trusted-types', 'dom', 'polyfill', 'javascript', 'xss', 'security', 'w3c']",520,55,66,0,26,JavaScript,3326,373,237,4,415,8,262
aliostad/deep-learning-lang-detection,https://github.com/aliostad/deep-learning-lang-detection,False,2020-06-11 21:00:39,2020-06-11 21:09:03,2020-11-03 14:34:23,[],17,2,11,0,1,F#,29142,1,0,1,5,0,0
hakuQAQ/Holmes,https://github.com/hakuQAQ/Holmes,False,2021-11-24 14:52:17,2021-11-24 15:04:46,2021-11-24 15:34:24,[],73,2,21,0,1,Go,1046,0,0,1,2,0,0
robustness-gym/meerkat,https://github.com/robustness-gym/meerkat,False,2021-05-07 00:26:35,2020-07-02 23:49:37,2022-07-22 21:35:09,"['ml', 'data-science']",114,7,13,7,9,Python,15756,269,204,38,320,0,0
ci7lus/ricapitolare,https://github.com/ci7lus/ricapitolare,False,2020-01-10 09:31:44,2020-01-17 16:09:29,2022-06-02 03:57:02,"['ogp-meta', 'webapi']",11,1,0,0,2,TypeScript,235,16,13,2,59,35,49
data-centric-ai/dcbench,https://github.com/data-centric-ai/dcbench,False,2021-07-28 17:35:26,2021-07-28 17:35:27,2022-06-08 21:03:56,"['machine-learning', 'data-science']",60,4,8,1,3,Jupyter Notebook,641,4,1,1,117,0,0
sherpal/AztecDiamond,https://github.com/sherpal/AztecDiamond,False,2017-11-17 17:47:20,2017-11-17 17:45:56,2018-09-07 06:59:07,[],3,1,0,1,1,Scala,1185,0,0,1,19,0,0
nihaohello/My_Online_Scan,https://github.com/nihaohello/My_Online_Scan,False,2019-02-04 12:06:55,2019-02-04 12:08:59,2019-02-07 12:38:22,[],9,0,3,0,1,Python,1579,1,0,1,3,0,0
r0eXpeR/fingerprint,https://github.com/r0eXpeR/fingerprint,False,2021-11-03 13:54:05,2021-11-03 13:54:06,2021-11-03 13:56:15,[],420,9,109,0,1,Ruby,7494,0,0,1,2,0,0
BuilderIO/partytown,https://github.com/BuilderIO/partytown,False,2021-08-20 17:12:55,2021-08-20 17:12:55,2022-11-17 22:40:17,"['webworker', '3rd-party', '3rdparty', 'web-worker', 'performance', 'analytics', 'core-web-vitals', 'lighthouse', 'lighthouse-score', 'javascript', 'dom']",9942,61,270,67,61,TypeScript,21445,284,131,5,739,655,1142
openzim/mwoffliner,https://github.com/openzim/mwoffliner,False,2016-02-08 01:01:27,2013-10-28 19:07:06,2022-11-03 07:55:36,"['parsoid', 'mediawiki', 'nodejs', 'wikitext', 'openzim', 'scraper', 'zim', 'wikipedia']",185,15,63,1,33,TypeScript,9715,1664,630,27,2737,8,0
vprusso/toqito,https://github.com/vprusso/toqito,False,2020-01-22 03:47:16,2020-01-22 03:47:17,2022-07-01 12:54:08,"['quantum-computing', 'python', 'quantum-information', 'matrix-analysis', 'python-3', 'unitaryhack', 'physics', 'quantum']",92,6,29,5,11,Python,1768,134,73,4,723,0,30
domino-osgi/domino,https://github.com/domino-osgi/domino,False,2012-05-10 10:26:37,2012-05-10 10:26:37,2021-12-23 10:43:06,"['scala', 'osgi', 'modularity', 'dsl', 'library']",52,5,13,1,4,Scala,816,33,16,5,165,0,1
serg-io/infuse.host,https://github.com/serg-io/infuse.host,False,2016-11-03 18:07:16,2016-11-03 18:07:16,2019-02-25 19:39:57,"['html', 'template', 'html-template', 'template-engine', 'infuse', 'custom-elements', 'web-components', 'framework', 'data-binding', 'frontend', 'pwa', 'spa', 'dom', 'web-application', 'web-apps', 'front-end', 'es-modules']",5,4,0,0,1,JavaScript,1339,0,0,1,102,0,25
DominoKit/domino-rest,https://github.com/DominoKit/domino-rest,False,2018-07-18 12:46:44,2018-07-18 12:46:45,2022-11-16 11:47:19,[],23,8,5,1,5,Java,432,75,14,6,146,0,0
ThomasZumsteg/exercism-python,https://github.com/ThomasZumsteg/exercism-python,False,2014-11-15 04:29:33,2014-11-10 05:15:58,2018-09-25 16:28:19,[],13,2,12,0,1,Python,264,1,1,1,148,0,0
patarapolw/aloud,https://github.com/patarapolw/aloud,False,2020-01-30 19:22:39,2020-01-30 16:20:14,2020-06-24 11:27:04,"['mongodb', 'comment-system', 'markdown-it', 'firebase-auth', 'firebase-storage']",6,1,0,2,1,Vue,1868,62,62,52,121,0,0
mfornet/domaino,https://github.com/mfornet/domaino,False,2019-02-14 07:04:00,2018-12-16 04:03:30,2019-04-14 02:48:24,[],5,3,4,0,3,Python,64,5,5,2,29,0,0
HazyResearch/domino,https://github.com/HazyResearch/domino,False,2021-11-29 22:53:58,2021-11-29 22:53:59,2022-08-02 14:58:31,[],96,21,14,1,1,Python,163783,9,4,3,83,0,0
nolimits4web/ssr-window,https://github.com/nolimits4web/ssr-window,False,2018-02-10 12:56:28,2018-02-10 12:56:28,2021-12-13 09:02:06,"['ssr', 'ssr-window', 'ssr-environment', 'server-side-rendering']",116,1,18,0,6,JavaScript,596,22,19,9,56,0,0
imfht/flaskapps,https://github.com/imfht/flaskapps,False,2021-01-31 09:23:32,2021-02-02 03:05:43,2021-02-02 03:05:43,[],9,2,5,0,1,,440984,2,1,2,1,0,0
