Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
Bowie-State-University/CS-Courses,https://github.com/Bowie-State-University/CS-Courses,False,2015-12-18 02:48:49,[],11,2,17,0,1,C++,1159951,0,0,1,0,54,0,0,0
prateekagrawaliiit/100-Days-of-ML,https://github.com/prateekagrawaliiit/100-Days-of-ML,False,2020-08-22 17:36:27,"['dataset', 'titanic-dataset', 'optuna', 'randomforestclassifier', 'prediction']",11,1,6,0,1,Jupyter Notebook,55631,0,0,2,0,65,0,0,0
thunlp/thunlp.github.io,https://github.com/thunlp/thunlp.github.io,False,2018-10-27 07:32:09,[],10,8,3,0,3,HTML,5631,0,0,1,0,41,0,0,40
cliqz-oss/keyvi,https://github.com/cliqz-oss/keyvi,False,2015-07-14 21:25:01,"['python', 'cpp', 'search', 'data-structures', 'fst', 'big-data']",176,20,37,43,8,C++,27577,10,1,3,44,826,0,0,73
Blunk-electronic/M-1,https://github.com/Blunk-electronic/M-1,False,2015-10-27 18:42:28,[],27,6,3,2,2,Ada,33386,2,0,4,3,647,0,0,0
seominjoon/piqa,https://github.com/seominjoon/piqa,False,2018-08-25 06:37:35,['emnlp2018'],89,7,9,0,2,Python,2095,6,0,3,0,103,0,0,69
stanford-cs324/winter2022,https://github.com/stanford-cs324/winter2022,False,2021-12-23 18:01:23,[],6,2,2,0,4,Python,19938,0,0,4,0,162,0,0,132
apache/tcl-rivet,https://github.com/apache/tcl-rivet,False,2018-07-18 10:39:07,['tcl'],16,7,7,0,3,C,7359,0,0,15,34,1326,0,0,0
gustafn/nsf,https://github.com/gustafn/nsf,False,2014-03-26 18:35:10,[],7,3,2,1,2,C,21811,0,0,2,18,4111,0,0,0
runebookdev/runebook,https://github.com/runebookdev/runebook,False,2020-02-10 07:35:29,"['runebook', 'translations', 'i18n', 'documentation']",109,3,19,0,1,,3628118,543,0,1,0,3813,0,0,0
RapidsAtHKUST/CommunityDetectionCodes,https://github.com/RapidsAtHKUST/CommunityDetectionCodes,False,2016-12-26 03:07:29,"['survey', 'community-detection-algorithm', 'graph-input-benchmark', 'quality-evaluation-metrics', 'codes-refactoring', 'dataset-summary']",183,17,93,0,1,C++,53347,5,2,1,0,240,0,0,0
hpcc-systems/PBblas,https://github.com/hpcc-systems/PBblas,False,2016-12-15 15:44:15,[],5,9,6,0,5,ECL,113,3,2,1,0,29,0,0,0
panosmdma/SlackOnly-SlackBuilds,https://github.com/panosmdma/SlackOnly-SlackBuilds,False,2016-01-07 17:11:29,[],8,4,1,0,211,Shell,98504,0,0,2,0,57866,0,0,0
huawei-noah/SMARTS,https://github.com/huawei-noah/SMARTS,False,2020-10-07 02:11:23,"['reinforcement-learning', 'python']",672,14,153,19,12,Python,304227,307,26,61,22,339,1,0,0
WHULuoJiaTeam/luojianet,https://github.com/WHULuoJiaTeam/luojianet,False,2022-05-24 07:44:49,[],102,9,25,1,4,C++,231310,0,0,3,7,94,0,0,0
pablocelis/Documents-Search-Engine,https://github.com/pablocelis/Documents-Search-Engine,False,2013-11-16 16:28:53,[],8,1,1,0,1,Python,21468,0,0,1,0,5,0,0,0
sayakpaul/TF-2.0-Hacks,https://github.com/sayakpaul/TF-2.0-Hacks,False,2019-05-09 15:41:39,"['tensorflow-2', 'neural-networks', 'deep-learning']",383,26,84,0,1,Jupyter Notebook,32475,0,0,3,0,162,0,0,0
codalab/codalab-worksheets,https://github.com/codalab/codalab-worksheets,False,2014-11-30 22:33:18,[],133,20,78,111,54,Python,27347,363,21,119,125,4521,23,0,1550
johandry/CKAD,https://github.com/johandry/CKAD,False,2019-11-04 05:02:45,[],15,3,32,0,1,Shell,3001,0,0,1,0,39,0,0,0
markleybros/yer-face,https://github.com/markleybros/yer-face,False,2017-10-28 15:41:58,"['performance-capture', 'cartoon-animation', 'lip-sync', 'yerface']",24,3,6,5,1,C++,984,0,0,2,5,484,0,0,0
srz-zumix/wandbox-api,https://github.com/srz-zumix/wandbox-api,False,2014-12-24 08:31:27,"['python', 'wandbox', 'wandbox-api', 'wandbox-cxx']",7,2,2,38,3,Python,352,3,1,2,38,270,0,0,0
cea-hpc/modules,https://github.com/cea-hpc/modules,False,2017-03-14 05:10:41,"['environment', 'module', 'modulefiles', 'tcl', 'shell', 'hpc', 'environment-modules', 'hacktoberfest']",499,34,85,32,27,Tcl,18781,27,1,7,42,4873,5,0,62
rktamplayo/AutoSense,https://github.com/rktamplayo/AutoSense,False,2018-11-02 15:55:55,"['word-sense-induction', 'word-sense-disambiguation', 'word-sense', 'topic-modeling', 'topic-models', 'topic-model', 'latent-dirichlet-allocation']",13,2,5,0,1,Java,5302,0,0,1,0,5,0,0,0
Xilinx/AWS-F1-Developer-Labs,https://github.com/Xilinx/AWS-F1-Developer-Labs,False,2018-07-03 16:32:06,[],20,6,9,0,1,C++,12209,2,0,1,0,2,0,0,0
OpenLiberty/open-liberty,https://github.com/OpenLiberty/open-liberty,False,2017-09-15 19:34:25,['hacktoberfest'],1022,36,522,54,244,,853078,2315,519,271,341,31851,25,0,0
MI2DataLab/WildNLP,https://github.com/MI2DataLab/WildNLP,False,2019-03-07 15:35:59,[],74,10,4,2,5,Python,9109,3,3,4,2,64,0,0,23
kelvinguu/neural-editor,https://github.com/kelvinguu/neural-editor,False,2017-09-26 09:51:35,[],327,30,60,0,1,Python,172,15,1,2,0,11,0,0,0
lyeoni/KorQuAD,https://github.com/lyeoni/KorQuAD,False,2019-06-05 07:42:22,"['korquad', 'bert', 'pytorch', 'question-answering', 'machine-reading-comprehension']",31,1,9,0,1,Python,1414,0,0,1,0,30,0,0,0
p-lambda/jukemir,https://github.com/p-lambda/jukemir,False,2021-06-09 23:37:36,[],104,12,17,0,2,Shell,4262,0,0,1,0,68,0,0,0
strin/cbt-model,https://github.com/strin/cbt-model,False,2016-04-13 03:14:23,[],10,3,6,0,1,Python,43,0,0,1,0,19,0,0,0
moparisthebest/forum.moparisthebest.com,https://github.com/moparisthebest/forum.moparisthebest.com,False,2019-09-11 22:54:31,[],7,3,10,0,1,,1138596,0,0,1,0,2,0,0,0
Vertispan/j2clmavenplugin,https://github.com/Vertispan/j2clmavenplugin,False,2019-05-02 11:19:29,[],36,9,20,2,12,Java,754,52,7,16,2,279,1,0,6
