Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
elvinzhusiyu/vapit,https://github.com/elvinzhusiyu/vapit,False,2021-01-11 18:03:00,2021-01-11 18:03:01,2021-11-15 19:54:53,[],17,2,8,0,2,Jupyter Notebook,5675,1,1,2,102,0,0
zenml-io/zenml,https://github.com/zenml-io/zenml,False,2020-11-19 09:25:46,2020-11-19 09:25:47,2022-11-18 13:40:32,"['mlops', 'machine-learning', 'data-science', 'production-ready', 'devops-tools', 'zenml', 'pipelines', 'metadata-tracking', 'deep-learning', 'pytorch', 'tensorflow', 'ml', 'ai', 'automl', 'hacktobe', 'hacktoberfest', 'workflow']",2529,37,235,46,52,Python,109000,1068,938,79,5181,7,82
Google-Health/imaging-research,https://github.com/Google-Health/imaging-research,False,2020-05-15 16:23:19,2020-01-29 13:53:04,2022-11-07 21:27:07,[],33,10,5,0,2,Jupyter Notebook,262,0,0,1,44,0,0
google/crystalvalue,https://github.com/google/crystalvalue,False,2021-12-11 13:09:08,2021-04-29 06:24:13,2022-08-25 13:31:51,[],13,8,0,0,3,Python,351,0,0,1,42,0,0
amygdala/code-snippets,https://github.com/amygdala/code-snippets,False,2017-08-28 20:34:25,2017-08-22 19:41:50,2022-01-04 15:38:42,[],149,12,81,0,3,Python,5796,117,116,22,113,0,0
nasaharvest/street2sat,https://github.com/nasaharvest/street2sat,False,2021-05-21 15:15:38,2021-05-21 15:17:17,2022-09-13 21:59:11,[],6,4,1,0,6,Jupyter Notebook,713812,39,24,3,227,0,52
wandb/wandb,https://github.com/wandb/wandb,False,2017-03-24 05:46:23,2017-02-21 07:25:41,2022-11-21 19:27:28,"['machine-learning', 'experiment-track', 'deep-learning', 'keras', 'tensorflow', 'pytorch', 'hyperparameter-search', 'reinforcement-learning', 'mlops', 'data-science', 'collaboration', 'hyperparameter-optimization', 'reproducibility', 'hyperparameter-tuning', 'data-versioning', 'model-versioning', 'ml-platform']",4995,37,380,104,114,Python,58740,4516,2426,491,4892,45,2306
deep-diver/Continuous-Adaptation-with-VertexAI-AutoML-Pipeline,https://github.com/deep-diver/Continuous-Adaptation-with-VertexAI-AutoML-Pipeline,False,2022-01-14 06:52:48,2022-01-14 06:56:29,2022-04-19 05:38:07,[],20,3,7,0,1,Jupyter Notebook,65,2,1,2,7,0,0
Yagami360/ai-product-dev-tips,https://github.com/Yagami360/ai-product-dev-tips,False,2019-08-02 11:07:42,2019-08-02 12:15:10,2022-09-08 14:49:18,['mlops'],17,2,0,0,1,Python,40130,11,10,11,401,0,0
tensorflow/tpu,https://github.com/tensorflow/tpu,False,2017-07-11 23:54:39,2017-07-27 20:02:35,2022-10-06 15:14:33,[],4955,359,1749,0,56,Jupyter Notebook,47892,993,538,32,1249,3,0
deep-diver/complete-mlops-system-workflow,https://github.com/deep-diver/complete-mlops-system-workflow,False,2022-05-17 05:43:24,2022-05-17 05:43:25,2022-09-06 06:26:02,[],15,2,2,0,1,Jupyter Notebook,105038,22,15,4,329,0,0
GoogleCloudPlatform/data-science-on-gcp,https://github.com/GoogleCloudPlatform/data-science-on-gcp,False,2017-02-10 16:46:57,2016-06-07 03:09:43,2022-03-29 16:35:25,"['data-analysis', 'data-visualization', 'cloud-computing', 'machine-learning', 'data-pipeline', 'data-processing', 'data-science', 'data-engineering']",1146,81,651,0,25,Jupyter Notebook,8147,157,66,5,543,0,0
googleapis/synthtool,https://github.com/googleapis/synthtool,False,2018-06-28 19:52:07,2018-05-17 16:44:15,2022-11-16 16:41:27,[],62,51,73,27,77,Python,3249,1705,1449,63,1283,3,0
NVIDIA/nvidia-gcp-samples,https://github.com/NVIDIA/nvidia-gcp-samples,False,2020-10-21 21:36:53,2020-11-11 20:36:46,2022-02-16 20:55:59,[],17,6,7,0,3,Python,94233,4,4,1,66,0,0
GoogleCloudPlatform/mlops-on-gcp,https://github.com/GoogleCloudPlatform/mlops-on-gcp,False,2020-02-16 18:31:41,2020-03-17 01:39:03,2022-11-17 21:57:42,[],528,27,1385,0,27,Jupyter Notebook,608891,158,132,7,771,14,0
jy2k/Kubeflow-v2-end-to-end,https://github.com/jy2k/Kubeflow-v2-end-to-end,False,2021-07-01 21:01:04,2021-07-01 08:00:39,2021-07-14 09:43:18,[],34,1,3,0,0,Jupyter Notebook,922,0,0,1,7,0,0
google/crmint,https://github.com/google/crmint,False,2018-06-27 09:01:33,2018-06-27 10:30:42,2022-11-09 17:19:35,"['appengine-python', 'google-cloud-platform', 'google-bigquery', 'google-cloud-storage', 'google-adwords', 'google-analytics']",134,19,76,0,16,Python,3986,369,268,4,859,0,94
superwise-ai/quickstart,https://github.com/superwise-ai/quickstart,False,2022-02-17 08:58:29,2022-02-24 17:56:18,2022-09-25 09:22:27,[],9,0,3,0,7,Jupyter Notebook,12019,36,36,5,54,0,0
tensorflow/tfx,https://github.com/tensorflow/tfx,False,2019-02-04 17:14:36,2019-02-04 17:57:55,2022-11-22 01:32:21,"['tensorflow', 'machine-learning', 'apache-beam']",1860,89,629,84,138,Python,238026,5503,4707,545,4774,12,0
silverstar0727/ML-Pipeline-Tutorial,https://github.com/silverstar0727/ML-Pipeline-Tutorial,False,2021-04-23 13:41:13,2021-04-23 13:41:13,2021-10-05 16:10:03,"['machine-learning', 'data-science', 'pipeline', 'python', 'tensorflow', 'deep-learning']",7,1,2,2,1,Jupyter Notebook,449,0,0,1,129,0,0
jarokaz/vertex-ai-workshop,https://github.com/jarokaz/vertex-ai-workshop,False,2021-06-02 22:22:10,2021-06-02 22:22:10,2021-06-28 23:01:20,[],18,5,5,0,1,Jupyter Notebook,2631,0,0,1,183,0,0
rafiqhasan/AI_DL_ML_Repo,https://github.com/rafiqhasan/AI_DL_ML_Repo,False,2017-06-24 08:15:43,2017-06-24 08:15:43,2022-11-02 15:26:56,[],10,0,4,0,1,Jupyter Notebook,13011,0,0,1,128,0,0
codingphun/gcp-kfp-tutorial,https://github.com/codingphun/gcp-kfp-tutorial,False,2020-12-29 13:52:34,2020-12-29 14:00:26,2021-08-13 14:08:39,[],5,2,2,0,2,Jupyter Notebook,277,1,1,1,19,0,0
deepmind/xmanager,https://github.com/deepmind/xmanager,False,2021-04-26 17:03:51,2021-04-27 08:28:44,2022-11-14 08:22:33,[],609,22,27,3,16,Python,715,30,5,1,424,0,0
Ark-kun/google_cloud_mlflow,https://github.com/Ark-kun/google_cloud_mlflow,False,2021-08-10 04:42:24,2021-08-10 04:42:25,2022-06-08 05:45:21,[],27,6,6,2,1,Python,163,4,0,3,64,0,0
