Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
aws-samples/amazon-sagemaker-time-series-prediction-using-gluonts,https://github.com/aws-samples/amazon-sagemaker-time-series-prediction-using-gluonts,False,2019-11-25 20:58:08,2019-11-25 20:58:09,2019-12-04 17:43:20,[],22,6,13,0,2,Jupyter Notebook,341,1,1,1,7,0,0
xtreamsrl/amld22-mlops-on-aws,https://github.com/xtreamsrl/amld22-mlops-on-aws,False,2022-03-25 23:18:07,2022-03-26 00:52:15,2022-03-26 08:11:37,"['aws', 'mlops', 'machine-learning']",8,5,6,0,2,Jupyter Notebook,29914,0,0,1,3,0,0
ElizaLo/Data-Science,https://github.com/ElizaLo/Data-Science,False,2020-05-21 16:57:45,2020-05-21 16:57:46,2022-09-18 15:22:37,"['awesome', 'awesome-list', 'data-science', 'awesome-data-science', 'awesome-ml', 'machine-learning', 'data-scientist', 'awesome-lists', 'awesome-interview-preparation', 'interview', 'interview-preparation-resources', 'data-analysis', 'data-analytics', 'udemy', 'data-analyst', 'udacity']",46,3,8,0,1,Jupyter Notebook,16189,0,0,1,261,0,0
andreluiz365/chip-wafer-classification-deep-learning,https://github.com/andreluiz365/chip-wafer-classification-deep-learning,False,2019-06-12 18:52:41,2019-06-01 00:21:28,2019-06-11 18:17:59,[],7,0,8,0,2,Jupyter Notebook,794,0,0,1,7,0,0
raduenuca/sagemaker-plagiarism-detection,https://github.com/raduenuca/sagemaker-plagiarism-detection,False,2019-07-24 09:40:40,2019-07-24 09:40:41,2019-07-26 13:53:05,[],5,1,6,0,1,Jupyter Notebook,46,0,0,1,7,0,0
honghanhh/coursera-practical-data-science-specialization,https://github.com/honghanhh/coursera-practical-data-science-specialization,False,2021-09-11 08:16:19,2021-09-11 08:16:20,2021-09-18 08:20:20,"['data-science', 'bert', 'mlops', 'abtesting', 'model-deployment', 'data-labeling', 'automl', 'statistical-data', 'bias-detection', 'aws-sagemaker', 'pandas', 'matplotlib']",24,2,22,0,1,Jupyter Notebook,31137,2,0,1,12,0,0
iBibek/MalConv-Deep-learning-for-PE-malware-classification,https://github.com/iBibek/MalConv-Deep-learning-for-PE-malware-classification,False,2021-10-15 00:28:46,2021-10-15 00:28:47,2021-10-15 03:24:47,[],5,1,0,0,1,Jupyter Notebook,10841,0,0,1,9,0,0
rabowskyb/amazon-sagemaker-workshop,https://github.com/rabowskyb/amazon-sagemaker-workshop,False,2018-01-15 16:49:10,2018-01-15 16:49:10,2018-01-30 22:49:03,[],5,6,2,0,1,Jupyter Notebook,1351,0,0,2,52,0,0
ds-muzalevskiy/sagemaker-docker-deploy,https://github.com/ds-muzalevskiy/sagemaker-docker-deploy,False,2020-11-08 15:45:42,2020-11-08 15:45:43,2021-10-21 19:38:04,[],14,1,5,0,1,Jupyter Notebook,477,0,0,1,48,0,0
aws-samples/aws-cdk-healthlake-knowledge-analyzer,https://github.com/aws-samples/aws-cdk-healthlake-knowledge-analyzer,False,2021-04-16 17:00:29,2021-04-16 17:00:31,2022-09-13 03:42:48,[],5,1,7,0,4,Python,59104,19,18,8,30,0,0
